id,name,website,auth_address,current_commission,total_stake,vdp_stake,organic_stake,initial_tier,current_tier,dependency_ratio,Rewards_USD,MonthlyReturns_USD,EstimatedMonthlyReturns_USD,underwater_status,graduation_status
123,P2P.org 💙,http://p2p.org/,0x7DE4E57FEFBADB6ED4E40CDCA1E6F314F606EDDF,15,179692420.59443545,90000000.0,89692420.59443545,Tier 1,Tier 1,0.5008558496917873,25649.726,3862.535,7668.886,false,true
124,Ledger by P2P.org,https://www.ledger.com/,0x371E307F2EB8F8E2DBB30E774F5283B6124785E7,10,30161042.147373434,25000000.0,5161042.147373434,Tier 4,Tier 4,0.8288838256265995,4423.056,455.444,350.579,true,false
125,Blockdaemon,https://www.blockdaemon.com/,0xF75E4B633BF2AF07BE72A00F4DE67F554970AA44,10,84994790.79522993,75000000.0,9994790.795229927,Tier 2b,Tier 2b,0.8824070192806351,12504.021,1263.653,621.937,true,false
126,amonstaker,https://amonstaker.xyz/,0x2C9B153A9C9B58C74D513D34BE796B8AFD0A05E5,15,52769016.37206142,52500000.0,269016.3720614165,Tier 3,Tier 3,0.9949020013910312,7235.873,1097.052,65.944,true,false
127,Cogent ⚙️  by SOL Strategies,https://cogentcrypto.io,0xAA7DB397B53371E6465A1DB29B1ED87EF3502EFD,15,75128288.68648344,75000000.0,128288.68648344278,Tier 2b,Tier 2b,0.9982924050483992,10539.493,1592.849,56.348,true,false
128,Laine ❤️ by SOL Strategies,https://stake.laine.one/,0x6338C9253882BB2642D38B7139C5DF21618D05C5,15,90823131.91910803,90000000.0,823131.9191080332,Tier 1,Tier 1,0.9909369793607078,12843.817,1938.59,115.881,true,false
129,Figment,https://figment.io,0x6236CC0219353E9E3E73208699B14F16C75AA899,15,78762879.27468348,75000000.0,3762879.2746834755,Tier 2b,Tier 2b,0.9522252194265203,11032.772,1666.828,349.6,true,false
130,node101,https://node101.io,0x4C57E041E38AD226186980AF1AB67B391E074C4D,15,52670687.55262291,52500000.0,170687.55262290686,Tier 3,Tier 3,0.9967593445129728,7246.131,1098.614,58.766,true,false
131,GulfLabs,www.gulflabs.xyz,0xB7B249EB2E5DD6ABC34280F807CFF14BAA259CFE,15,52600042.850574635,52500000.0,100042.85057463497,Tier 3,Tier 3,0.9980980462153075,7255.728,1100.084,53.447,true,false
132,Ankr,https://www.ankr.com,0xA8F8A4C79491747098B96A6A9FD5100606336906,20,25129175.7,25000000.0,129175.69999999925,Tier 4,Tier 4,0.9948595329372464,3239.776,659.734,57.217,true,false
133,H2O Nodes,https://h2o-nodes.com/,0x462F0560E473E1545FD4D0680C02C499AAF01711,15,78251295.02495755,75000000.0,3251295.0249575526,Tier 2b,Tier 2b,0.9584505914704596,11099.706,1677.017,312.85,true,false
134,Republic,https://www.republic.com,0x10B2BD817EC95A8A131A4788F7F973F4EA57F99B,15,52631072.099080555,52500000.0,131072.09908055514,Tier 3,Tier 3,0.997509606134684,7383.889,1119.509,56.817,true,false
135,Tessellated,https://tessellated.io,0x802BA23A7AA7C255895CD0BCF03172F428824FC4,15,52643316.53225656,52500000.0,143316.53225655854,Tier 3,Tier 3,0.9972775930223025,7230.622,1097.193,60.173,true,false
136,Asymmetric Research,https://asymmetric.re,0x1A1E53555F9284A21DB616D8F50E658DD666B47B,15,75130659.8038365,75000000.0,130659.80383649468,Tier 2b,Tier 2b,0.9982608990234128,10527.994,1591.11,56.607,true,false
137,Hex Trust,https://www.hextrust.com/,0xE8EE0C6029FFD5E5F792E40BE40D3AFD81EBECD0,15,52640093.0,52500000.0,140093.0,Tier 4,Tier 3,0.997338663516419,7278.172,1103.489,56.83,true,false
138,HashKey Cloud,https://www.hashkey.cloud/,0xD425D4C519297BE71DE55CB863272520DB1DEC8A,10,75153549.92676006,75000000.0,153549.92676006258,Tier 2b,Tier 2b,0.9979568506489753,11193.605,1132.766,60.66,true,false
139,blockscape,https://blockscape.network,0x61DF236D496F56816C85F5D8A20690D6C0BB2A09,15,55852186.84117194,52500000.0,3352186.8411719427,Tier 3,Tier 3,0.9399810995636638,7876.208,1193.415,322.015,true,false
140,NTT DOCOMO GLOBAL,https://www.docomoglobalgr.com/english,0x0A071580E2D0525335BAC5321FE9785D40472FA7,20,1.4551915228366852e-11,0.0,1.4551915228366852e-11,Tier 4,Removed,0.0,0.0,0.0,0.0,true,false
141,Artifact,https://artifact-systems.io,0xBA8BCB4EB9A90D5A0EAE0098496703B49F909CB2,15,75100928.17027892,75000000.0,100928.17027892172,Tier 2b,Tier 2b,0.9986560995617779,10536.991,1592.475,54.431,true,false
142,Lavender.Five Nodes 🐝,https://www.lavenderfive.com,0xB4084F25DFCB2C1BF6636B420B59EDA807953769,15,52649635.57812482,52500000.0,149635.5781248212,Tier 3,Tier 3,0.9971578990722019,7287.453,1105.78,60.857,true,false
143,QuantNode,https://quantnode.tech/,0x2A3E8BA775B79F1053DB17F359BC9471EF57D270,15,75100058.22780591,75000000.0,100058.2278059125,Tier 2b,Tier 2b,0.9986676677732739,10377.719,1568.404,53.547,true,false
144,Informal Systems,https://informal.systems,0xF0FC179C522E476127F0A19A1BFB5162D2FF7832,15,75182788.1346288,75000000.0,182788.13462880254,Tier 2b,Tier 2b,0.9975687502530302,10526.825,1590.925,60.916,true,false
145,FP Validated,https://validated.4pillars.io,0x32EE0A75D937FFF62F6BD8E9F00D1EE730001F25,15,52649675.72411081,52500000.0,149675.72411081195,Tier 3,Tier 3,0.9971571387277839,7370.082,1117.411,58.182,true,false
146,RockX,https://www.rockx.com/,0xFA2CE4AD32B6120D6AF7374A34CB26984B6FDC1A,15,75209724.26545991,75000000.0,209724.26545991004,Tier 2b,Tier 2b,0.9972114740812017,10452.927,1579.753,62.615,true,false
147,AltLayer,https://altlayer.io/,0xCBF7880BFFC99F70F9AAA9B280FABB184DC4C634,10,0.0,0.0,0.0,Tier 4,Removed,NaN,0.0,,0.0,true,false
148,Finoa Consensus Services,https://finoa-fcs.io/products-delegated-staking/,0x318EE878178900484C585F7A2D7CE7AC1544FC08,15,55760746.84536097,52500000.0,3260746.845360972,Tier 3,Tier 3,0.9415225399615993,7609.982,1153.096,304.106,true,false
149,Fountainhead,https://fountainhead.network,0x1BFFC9D70792DC802FE87ED1A1BCE1B4256DCCA4,15,25395379.950031232,25000000.0,395379.9500312321,Tier 4,Tier 4,0.98443102836779,3614.921,554.338,79.512,true,false
150,Node3Tech,https://www.node3tech.io,0xA458D2E7C08AA030226B7EA6A9576F0A3F4C94AC,15,53413445.63396872,52500000.0,913445.6339687183,Tier 3,Tier 3,0.9828985824987144,7482.334,1215.945,431.108,true,false
151,Simply Staking,https://www.simplystaking.com,0x56F6E9419F4C76A29305B6029664F96897A89DCE,10,55896888.9768637,52500000.0,3396888.976863697,Tier 3,Tier 3,0.9392293732434787,8143.944,827.518,240.0,true,false
152,stakefish,https://stake.fish,0x5C5251CA9019F1E4AF49C2F96EEFFE931713A2C0,15,77405049.42975979,75000000.0,2405049.4297597855,Tier 2b,Tier 2b,0.9689290369623468,10948.274,1654.264,244.135,true,false
153,xLabs,https://xlabs.xyz,0xFEEB3B1276FBFB32BE9A27A63A5F6372A91D3D33,15,53003347.27148392,52500000.0,503347.2714839205,Tier 3,Tier 3,0.9905034814328656,7454.009,1130.055,87.342,true,false
154,forthenads,https://forthenads.xyz,0xF9FDBED64CED4E052CACB3C06507C34750843175,15,103981558.99196674,75000000.0,28981558.99196674,Tier 2b,Tier 2b,0.7212817419461296,14771.562,2227.959,2363.496,false,true
155,Inactive,,0xC84286A6EFCD784ED8A70D3CFD21859DF92A1CB3,20,9516.798223485892,0.0,9516.798223485892,Tier 3,Removed,0.0,0.0,0.0,0.0,true,false
156,Pharus,https://www.thepharus.com/,0xC700CE9093A5ED855DC98035DA9C93ABB715CA51,15,52793003.36648747,52500000.0,293003.36648747325,Tier 3,Tier 3,0.9944499583694177,7422.337,1146.811,153.579,true,false
157,rskl,https://rskl.xyz/,0xC1184EF5090B7B9BDC86FBBC4B04884D4327E94B,15,81523376.42040782,75000000.0,6523376.420407817,Tier 2b,Tier 2b,0.9199815230079845,11237.144,1697.281,571.674,true,false
158,Zellic,https://zellic.io/,0x86299ED2ACF86B04F2B5FBC4D248D2A34539E8E5,10,4032168.7012217646,0.0,4032168.7012217646,Tier 3,Removed,0.0,0.0,0.0,0.0,true,false
159,InfStones,https://infstones.com/,0xAB144D3B3A5CAC0D9EE3A6031A9FAB95D2B6A4D6,15,78209880.75550343,75000000.0,3209880.755503431,Tier 2b,Tier 2b,0.9589581172545445,10765.616,1626.9,301.963,true,false
160,GalaxyDigital,https://www.galaxy.com/,0x7578C4347280E3E3A6690C9F0D0AF12AD96B6FE3,5,53593294.38459368,52500000.0,1093294.3845936805,Tier 3,Tier 3,0.9796001645887258,8459.063,437.953,90.958,true,false
161,Animoca Brands,https://www.animocabrands.com/,0xECE0A9C4A6E72D8778A0C96A5C6C7478EBC9059B,15,25171779.599994365,25000000.0,171779.59999436513,Tier 4,Tier 4,0.9931757069732804,3569.594,547.493,60.857,true,false
162,Stake Shark,https://stakeshark.io,0x0676E23FC399D56D3E0E0A53E6C75676D8156AAA,15,66529752.105225235,52500000.0,14029752.105225235,Tier 3,Tier 3,0.7891206315779532,9444.781,1434.746,1244.452,false,true
163,Chainflow,https://chainflow.io,0x5840748F1237629F361E39E4AEC2C3098D215665,5,52783797.18787678,52500000.0,283797.1878767833,Tier 3,Tier 3,0.9946234033359396,8499.799,440.308,66.051,true,false
164,DIN,https://www.din.build/,0x4101A10146332E81625FF7CCDCE4CF8EA53D5354,15,25200003.0,25000000.0,200003.0,Tier 4,Tier 4,0.9920633739607094,3472.476,544.297,106.765,true,false
165,Kraken,https://www.kraken.com,0xC6B10ECE4C14694604DFFF9D825BE70BF831B409,15,25156784.779917113,25000000.0,156784.77991711348,Tier 4,Tier 4,0.9937676940320976,3552.778,544.921,59.346,true,false
166,Goldsky,https://goldsky.com/,0x430CAE2D22613A1A96B4220D11F8D9BAC7605107,0,55630328.24049021,52500000.0,3130328.240490213,Tier 3,Tier 3,0.9437298261668027,9118.599,16.394,63.514,true,false
167,SenseiNode,https://www.senseinode.com/,0xD7F5B619441FAFE525EA3ABEBCD4A961C1227426,15,53444024.49894047,52500000.0,944024.4989404678,Tier 3,Tier 3,0.9823362011414544,7567.872,1239.053,480.121,true,false
168,Staking Facilities,https://stakingfacilities.com/,0x38CA9854C80AE8B7EB922C02CC17CC4BD129B81A,15,78283706.61224993,75000000.0,3283706.6122499257,Tier 2b,Tier 2b,0.9580537668136413,10862.873,1641.229,309.116,true,false
169,Gemini,https://gemini.com/staking,0x80F1EEE7AE915A98679197F4094BA94F7663FCF5,15,102084605.3452769,25000000.0,77084605.3452769,Tier 4,Tier 4,0.24489490766451458,13778.113,2078.414,6053.696,false,true
170,Triton one,https://triton.one,0xDDFF579F534E0A1A1F177602BB4B5900206D322D,10,85100474.08133242,75000000.0,10100474.081332415,Tier 2b,Tier 2b,0.8813111890342801,12524.981,1265.765,620.739,true,false
171,BitGo,https://www.bitgo.com/,0xB0BC9BB14BE37A113A72DD429B25D2546BC25230,20,25300037.29295036,25000000.0,300037.29295035824,Tier 4,Tier 4,0.9881408359412197,2120.581,430.83,43.274,true,false
172,Allnodes,https://www.allnodes.com,0x6605A667684A02BE1B0FA058D50F8E9D8A52D4C7,10,88032493.33867095,75000000.0,13032493.338670954,Tier 2b,Tier 2b,0.8519581481290837,12932.281,1306.45,793.016,true,false
173,Inactive,https://inactive.io,0xB664EB9391A97336B7030FB70A1B403F73B2BC6C,10,0.0,0.0,0.0,,,NaN,0.0,,0.0,true,false
174,Endorphine Stake,https://endorphinestake.com,0x75BB11C7041AB9AF451B1BAE41686FBAD4D08D98,0,99999.99999999999,0.0,99999.99999999999,,,0.0,0.0,0.0,0.0,true,false
175,Ledgerwise,https://ledgerwise.io/,0x43E259EBC9637EC35F9900C5067D886011E6EB98,15,0.0,0.0,0.0,,,NaN,0.0,,0.0,true,false
176,JustNodes,https://justnod.es/,0xB3CDC4D4B335EC82B52329E879BE60DD97DCAF27,0,0.0,0.0,0.0,,,NaN,0.0,,0.0,true,false
177,Pacific Meta,https://pacific-meta.co.jp/,0x28CEB54927CB7772604C994DE42FD6960895BB85,15,52600003.0,52500000.0,100003.0,Tier 3,Tier 3,0.9980988023898022,7273.856,1102.833,53.578,true,false
178,SpeedyNodes,https://speedynodes.com,0x411A880B939EF92ADB9FCC78DC44BC5AC5ECE306,20,0.0,0.0,0.0,,,NaN,0.0,,0.0,true,false
179,LeMonad,https://lemonad.pro/,0x9C79B6AA52778E01F60EBAC482490C6D8C476941,3,243827990.45708475,0.0,243827990.45708475,,,0.0,38468.072,1281.724,4965.707,false,true
180,02568b7f00ec34803b089f614f27cd7641e0d3382ecbdfd9cc80bb599a259723dd,,0x58C5E01A697434EFA25CC6E5A5B4CA2D74332A62,0,100000.99999999999,0.0,100000.99999999999,,,0.0,0.0,0.0,0.0,true,false
181,LI.FI,https://li.fi/,0xA1885BE53967568AB28AE48D74D625F1706D6D3A,15,75207218.68122508,75000000.0,207218.68122507632,Tier 2b,Tier 2b,0.9972446969206055,10697.305,1616.686,63.864,true,false
182,Water Cooler Studios,https://www.wcs.tech,0xE177649EB84D86F6A489EEC893611959E6512D64,0,33337210.709173385,0.0,33337210.709173385,,,0.0,4278.739,14.246,55.261,true,false
183,Forest Staking,https://foreststaking.com,0xF072A2CBC82381B262C37EB33D8B85D42E98DB41,15,52654394.168246105,52500000.0,154394.1682461053,Tier 3,Tier 3,0.9970677818881978,7370.647,1117.496,58.648,true,false
184,smallstreet,https://smallstreet.com,0xB4B2FD02937C57BFD4C2B00CBF6CEB761CDAE60F,0,99999.99999999999,0.0,99999.99999999999,,,0.0,0.0,0.0,0.0,true,false
185,Kamunagi,https://kamunagi.xyz/,0x0FBCC773F4E0B4309A5CC0B784AADEF4FD359218,0,102666.61932699998,0.0,102666.61932699998,,,0.0,0.0,0.0,0.0,true,false
186,Etherfuse,https://www.etherfuse.com/,0xBF40548B6FD104C3CA9B2F6B2E2383301DB1C023,15,90100051.0,90000000.0,100051.0,Tier 1,Tier 1,0.9988895566773874,12531.561,1891.556,53.89,true,false
187,Kiln1,https://kiln.fi,0x81A374BE25830E7835479EB6DFA8D30E8A219B5E,15,90285500.62535904,90000000.0,285500.6253590435,Tier 1,Tier 1,0.9968378020459372,12572.687,1897.74,68.616,true,false
188,AltLayer,https://altlayer.io/,0x32EDE0F7E1AC9AC6D1CD3C60C7D4FAEA1E2D7A06,15,25121372.851969913,25000000.0,121372.85196991265,Tier 4,Tier 4,0.995168542233535,3501.827,539.565,65.202,true,false
189,Cointelegraph Decentralization Guardians,https://cointelegraph-guardians.com/,0xA1AB8971A140D14AF9CE617E8B22416A436657C1,15,75223139.27103448,75000000.0,223139.27103447914,Tier 2b,Tier 2b,0.9970336352192044,10524.265,1602.448,110.259,true,false
190,SpeedyNodes,https://speedynodes.com,0x411A880B939EF92ADB9FCC78DC44BC5AC5ECE306,15,52872415.7726821,52500000.0,372415.77268210053,Tier 3,Tier 3,0.9929563314397577,7427.085,1158.089,200.707,true,false
191,BitCtrl,https://www.bitctrl.io/,0x25EBB65E5224689F8856F4DE547C05F2491AA12A,15,89190560.69047716,52500000.0,36690560.69047716,Tier 3,Tier 3,0.5886273120559652,10726.756,1629.848,2232.48,false,true
192,BlockPro,https://block-pro.net/,0xF5C91CAF0890525C573D00B969BD4AF70DACE52C,15,52602100.99999999,52500000.0,102100.99999999255,Tier 3,Tier 3,0.998058993879351,7274.288,1102.897,53.854,true,false
193,JustANode,https://t.me/DEUSxTG,0x094FAE9BF739C41C50592C67E04730913B2981D5,15,52719511.50721344,52500000.0,219511.50721344352,Tier 3,Tier 3,0.9958362378379889,7436.581,1135.693,109.166,true,false
194,Paradise Nodes,https://www.paradisenodes.xyz/,0x295A0A79E625AFDA5F0DBA805925F078F28E9D00,15,52828522.93802854,52500000.0,328522.93802853674,Tier 3,Tier 3,0.9937813340264328,7313.998,1128.619,144.722,true,false
195,Cosmic Validator,https://cosmicvalidator.com,0x0A0B9960407CA9F783CB3C78F7F0A66FC18092,15,52601805.1205513,52500000.0,101805.12055130303,Tier 3,Tier 3,0.9980646078529437,7386.47,1107.97,8.181,true,false
196,Unity Nodes,https://unitynodes.com,0x4E82DA5F19A3753BBD3B8B15B46A784BDECEA36A,15,52615770.77298684,52500000.0,115770.77298683673,Tier 3,Tier 3,0.9977996944397843,7266.518,1101.717,54.769,true,false
197,POSTHUMAN,https://www.posthuman.digital/,0xEB69059C7078D16762D8B353CF486371F3DDBA1E,15,52618514.0,52500000.0,118514.0,Tier 3,Tier 3,0.9977476748963302,7347.665,1114.019,55.606,true,false
198,Metatarz,https://metatarz.xyz,0xF642ED93D1CB39458F400525D3118DC5B568A00F,15,52897435.325218506,52500000.0,397435.32521850616,Tier 3,Tier 3,0.9924866806344195,7318.432,1134.455,170.761,true,false
199,TServices,https://tservices.es/,0xD921434D3E950AC76AA563556A74E368F2BD72EA,15,52602907.9391635,52500000.0,102907.93916349858,Tier 3,Tier 3,0.9980436834541065,7423.201,1125.824,56.26,true,false
200,Phase Stake,https://phase.cc/,0x621F21CB816DF5F8F7026938F346DC1C91358EA2,15,52601635.21128615,52500000.0,101635.21128614992,Tier 3,Tier 3,0.9980678317151566,7351.579,1114.617,54.194,true,false
201,Nodeify,https://nodeify.net,0xEB6C7F18B0163CC3B103DE9122049DCBED87098D,15,52712151.36246137,52500000.0,212151.3624613732,Tier 3,Tier 3,0.995975285451687,7286.373,1117.883,113.609,true,false
202,MSC-Industries,,0x1E66209BAC491409781817798AF8DB810F92E4E9,15,52714001.0,52500000.0,214001.0,Tier 3,Tier 3,0.9959403385070316,7328.673,1124.59,115.267,true,false
203,Blocash,https://www.blocash.xyz,0xADDDCD9A6463CD5F183016869E170A27901C5CDE,15,52600001.0,52500000.0,100001.0,Tier 3,Tier 3,0.9980988403403263,7295.006,1106.039,53.738,true,false
204,LootGO,https://lootgo.app/,0x3BFF4E998466765DB090F01E11E2EBF8DD341A5F,15,75671382.9045856,75000000.0,671382.9045855999,Tier 2b,Tier 2b,0.9911276511831144,10498.144,1586.512,100.928,true,false
205,Obelisk,https://obelisk.sh/,0xC8FCE9BCB115B518BDCC9BDACF884344A0A2AAE6,15,52600006.07520598,52500000.0,100006.07520598173,Tier 3,Tier 3,0.9980987440369684,7243.642,1098.252,53.353,true,false
206,Decentra,https://decentra.cloud/,0x3ECEDCC3D08CF817A8AF44FD84B247C587B7C401,15,75132438.83731647,75000000.0,132438.83731646836,Tier 2b,Tier 2b,0.9982372615694901,10527.019,1590.963,56.613,true,false
207,unityfarms,https://unityfarms.cloud/,0xF83757D23EADE0CFC9EC6921501FE586CEAEF8C1,15,52843249.315795615,52500000.0,343249.3157956153,Tier 3,Tier 3,0.9935043866484378,7352.845,1139.262,165.609,true,false
208,Inotel,https://inotel.ro,0xF383767A79FE34E626ADA6AE2528DDA3AFFF162D,15,53230001.0,52500000.0,730001.0,Tier 3,Tier 3,0.9862859104586528,7341.622,1113.085,61.858,true,false
209,GlobalStake,https://globalstake.io/,0xDE5BDD99E760804ABFDF9ADB5261C14FED5DFDCF,15,52805464.08652751,52500000.0,305464.0865275115,Tier 3,Tier 3,0.9942152939698252,7529.225,1141.504,72.088,true,false
210,VALIDEXIS,https://validexis.com/,0x6818AB7C494DB1281671802459102D0A29E6E9B4,15,52600001.0,52500000.0,100001.0,Tier 3,Tier 3,0.9980988403403263,7336.874,1112.387,54.047,true,false
211,Data Nexus,https://data.nexus/,0x86868BB556DEDCD0768854A5AF9E62F2E9129D46,15,75100051.0,75000000.0,100051.0,Tier 2b,Tier 2b,0.998667763887404,10443.759,1578.384,53.883,true,false
212,CHAIN DIGITAL,https://chaindigital.tech/,0x51643D956491DC5A36DABA05010A801067C3A9EC,15,52600001.0,52500000.0,100001.0,Tier 3,Tier 3,0.9980988403403263,7308.818,1108.134,53.828,true,false
213,AiNodes,https://ainodes.tech,0x47840EE2B84D6F55C61DD444655C07D132CF3175,15,52634929.86668996,52500000.0,134929.86668995768,Tier 3,Tier 3,0.9974364957447137,7345.939,1117.897,72.957,true,false
214,Lunar Strategy,https://www.lunarstrategy.com/,0xAA9DAA5B1BF26FE130B7E0AEDA52C5E2C5DB49F7,15,75100051.0,75000000.0,100051.0,Tier 2b,Tier 2b,0.998667763887404,10442.895,1578.254,53.875,true,false
215,Pointgroup,https://github.com/pointgroup-labs/,0x7068EE7ADDA375AF91AD1B60CDE9BC907678EAF3,15,52986706.44915638,52500000.0,486706.4491563812,Tier 3,Tier 3,0.9908145555409562,7408.797,1146.736,171.216,true,false
216,Astrosynx,https://astrosynx.com/,0xD03B3155D7FB740666539872126E9AE49758446C,15,52600001.0,52500000.0,100001.0,Tier 3,Tier 3,0.9980988403403263,7400.324,1122.007,54.51,true,false
217,InfraSingularity,https://infrasingularity.com/,0xA58A61948D017F9CECAE09F765E785DAAA28E486,10,52614488.37640521,52500000.0,114488.3764052093,Tier 3,Tier 3,0.9978240142603657,7925.79,806.137,59.044,true,false
218,LuckyResearch Labs,https://luckyresearch.org,0x86B3F3CE60728C9BBF54FAAE20078E7E52F69A35,15,52654036.0,52500000.0,154036.0,Tier 3,Tier 3,0.9970745642366332,7352.413,1121.033,82.829,true,false
219,Category Labs - 1,https://www.category.xyz/,0xFEBE258AA7B623249D817511F0035ED12849A2E1,100,30401515.1,0.0,30401515.1,,,0.0,0.0,0.0,0.0,true,false
220,Jichu,https://jichu.xyz/,0x46594947A9AAF9A13B861453FABFF2A14EB193A0,10,99999.99999999999,0.0,99999.99999999999,,,0.0,0.0,0.0,0.0,true,false
221,Uphold,https://uphold.com/en-us,0x88089DDFCD783D6491F6B73874AAF713F8924937,0,99999.99999999999,0.0,99999.99999999999,,,0.0,0.0,0.0,0.0,true,false
